NAME	X	Y	cluster_cd8
TYPE	numeric	numeric	group
C04066	60.7172	36.3079	4
C04067	64.152	20.147	4
C04068	59.1818	38.1161	4
C04069	77.49	39.5641	4
C04070	66.2201	65.4879	4
C04072	70.2636	13.2339	4
C04073	83.3543	12.0315	4
C04074	62.8729	35.8193	4
C04076	68.0737	27.2539	4
C04077	73.3016	31.3017	4
C04080	59.4002	30.2196	4
C04081	70.043	30.9021	4
C04082	69.837	34.6327	4
C04084	48.5239	40.7394	4
C04086	55.1097	46.9507	4
C04087	76.6466	32.0644	4
C04088	39.3605	40.8022	4
C04089	63.7244	35.9403	4
C04093	80.4062	36.3133	4
C04094	59.4068	-80.6299	5
C04096	52.7231	38.9019	4
C04097	64.3118	40.7621	4
C04098	98.1006	19.422	4
C04100	51.6106	35.5677	4
C04101	73.0362	40.9083	4
C04102	61.5388	37.9616	4
C04103	70.7189	40.2459	4
C04104	50.8431	49.1275	4
C04106	68.0626	43.0756	4
C04107	35.8033	37.652	4
C04108	52.5368	37.608	4
C04109	19.729	95.4104	5
C04110	79.1559	44.7299	4
C04111	43.6194	12.488	4
C04112	42.774	32.1557	4
C04113	77.303	34.4945	4
C04114	68.4446	31.2495	4
C04115	46.4159	33.6108	4
C04117	77.3422	33.0737	4
C04119	45.2973	23.3096	4
C04121	60.4901	21.7369	4
C04123	59.9178	38.9041	4
C04125	73.2443	19.7415	4
C04126	64.2287	26.6063	4
C04127	62.8451	27.4106	4
C04130	82.6876	-59.7706	6
C04131	64.1669	20.1466	4
C04132	68.8183	35.5332	4
C04133	42.2458	13.8954	4
C04134	47.125	-97.7882	5
C04135	56.9619	39.0303	4
C04136	33.8125	43.2683	4
C04137	75.9535	38.1254	4
C04138	83.3516	12.0446	4
C04139	57.1886	26.5409	4
C04143	60.8003	10.2716	4
C04145	33.7452	25.1386	5
C04146	75.0142	16.8904	4
C04147	68.4617	36.949	4
C04148	55.2991	47.1593	4
C04154	55.4658	59.7594	5
C04157	57.3331	38.2234	4
C04160	74.3355	54.7272	4
C04164	52.7863	39.0869	4
C04165	13.8077	75.4688	5
C04166	-27.5434	64.8471	4
C04167	32.7086	34.3633	4
C04169	58.4211	41.3097	4
C04170	68.4219	33.2359	4
C04176	57.01	43.8275	4
C04178	9.4173	75.3578	5
C04180	51.7399	23.3263	4
C04182	52.1807	61.1294	4
C04184	74.8364	43.4945	4
C04186	36.716	-93.0785	5
C04188	59.7206	39.9861	4
C04191	80.7437	30.8636	4
C04192	58.5459	46.1097	5
C04197	24.4454	97.5684	5
C04202	85.7591	32.539	4
C04204	12.3281	36.8044	4
C04207	9.2381	73.1248	5
C04209	75.5754	27.5457	4
C04210	10.0887	79.8735	5
C04211	87.8859	30.2116	4
C04212	9.8378	65.9539	5
C04214	11.7078	76.2062	5
C04215	72.2757	29.2319	4
C04217	72.2743	29.2499	4
C04219	9.2344	78.9318	5
C04221	12.127	66.6978	5
C04222	5.9779	83.6973	5
C04223	32.4226	27.8329	4
C04224	13.3121	64.1834	5
C04225	26.4262	31.7221	5
C04226	24.006	91.1346	5
C04228	13.4213	85.2863	5
C04229	15.5743	72.6958	5
C04233	29.7967	70.9492	5
C04234	21.6953	70.144	5
C04240	11.4485	71.1632	5
C04241	11.3338	73.8917	5
C04242	15.718	72.0822	5
C04243	4.8226	84.938	5
C04244	13.7412	70.1262	5
C04245	3.439	73.8025	5
C04247	11.8173	82.2002	5
C04248	69.4945	36.4992	4
C04253	9.8832	77.534	5
C04254	11.5934	82.4126	5
C04255	7.1009	81.6476	5
C04256	10.3807	65.9806	5
C04257	10.7691	87.717	5
C04259	33.2738	34.3804	5
C04261	20.4297	89.8927	5
C04262	13.4336	81.5376	5
C04263	13.9476	73.471	5
C04264	10.8705	73.4459	5
C04265	88.2613	44.6855	4
C04266	31.9973	32.5366	4
C04267	16.0671	86.3087	5
C04269	88.9443	45.451	4
C04270	88.2663	44.6959	4
C04271	10.2985	74.6986	5
C04272	7.1083	78.0981	5
C04273	12.7475	79.5018	5
C04274	15.6211	89.0833	5
C04275	27.3428	60.3073	4
C04277	72.9308	24.7311	4
C04280	10.828	87.7355	5
C04281	72.9559	22.4579	4
C04283	12.9298	85.8415	5
C04284	13.0011	80.1235	5
C04286	3.4147	70.4383	5
C04287	11.4858	74.6408	5
C04289	15.0286	67.6488	5
C04290	5.5355	83.1993	5
C04291	13.784	83.4651	4
C04292	11.1084	75.7453	5
C04294	5.4991	83.1936	5
C04295	9.2412	72.7342	5
C04296	8.0275	76.8988	5
C04297	11.5512	79.3839	5
C04298	71.7746	30.9597	4
C04299	13.782	83.4695	4
C04302	15.0343	67.6564	5
C04304	15.5736	72.6927	5
C04305	4.307	74.9779	5
C04306	9.8479	77.5663	5
C04309	72.173	24.0128	4
C04311	41.6099	33.1238	4
C04312	29.7757	70.9337	5
C04315	13.4024	81.5518	5
C04316	2.9347	72.3865	5
C04317	11.3438	70.8345	5
C04319	26.5581	32.0614	5
C04320	45.0683	-94.6873	5
C04321	50.087	-4.6291	4
C04322	35.0771	-89.743	5
C04323	72.9287	8.5995	5
C04326	2.3803	87.1691	5
C04327	26.3294	52.1177	5
C04328	77.0651	20.0227	4
C04331	72.8402	5.8175	6
C04332	81.3856	-5.8774	4
C04333	73.9391	20.9272	4
C04334	72.8	10.1649	5
C04335	70.5772	7.4458	4
C04336	62.8786	8.8324	6
C04337	63.7134	7.9891	6
C04338	7.991	80.6258	5
C04339	72.3028	10.2301	4
C04340	70.3562	7.88	4
C04341	62.5064	8.6821	6
C04342	63.4631	12.9358	4
C04343	77.2538	5.3567	4
C04344	26.9384	38.7891	5
C04345	22.0857	73.5426	5
C04346	70.7265	9.0003	4
C04347	70.188	9.3277	4
C04348	82.7379	25.594	4
C04351	25.6644	30.4472	4
C04354	93.7838	31.1356	5
C04355	34.2603	62.6134	5
C04356	37.7042	34.3134	4
C04358	93.4913	31.6231	5
C04359	34.2581	62.6175	5
C04360	16.832	82.3047	5
C04363	30.017	97.923	5
C04364	25.5949	62.8101	5
C04365	12.8961	67.6162	5
C04366	24.9508	45.8076	5
C04367	15.9898	84.8494	5
C04369	27.1076	39.1148	5
C04370	2.5085	88.3807	5
C04371	33.1396	93.6217	5
C04373	37.6236	82.1765	5
C04374	34.2462	83.5818	5
C04375	26.5966	60.5335	5
C04377	32.2883	91.4506	5
C04378	28.7168	68.5041	5
C04379	22.9012	68.2272	5
C04380	31.1356	78.4847	5
C04382	29.1067	66.4246	5
C04383	19.1425	89.412	5
C04385	33.8814	83.2033	5
C04389	22.1013	67.2538	5
C04390	64.7394	15.1059	4
C04391	16.8249	77.2264	5
C04393	18.514	61.3091	5
C04394	18.2155	77.0124	5
C04397	88.6929	25.7075	4
C04399	38.4539	81.509	5
C04400	26.5608	90.0643	5
C04401	20.6416	83.6199	5
C04403	24.2502	69.3975	5
C04404	14.0829	79.9541	5
C04405	38.7846	31.9804	4
C04406	35.8044	84.7122	5
C04407	27.9832	97.0167	5
C04408	30.9961	64.1324	5
C04409	26.5566	36.8552	5
C04410	32.2123	61.247	5
C04411	31.7277	70.7848	5
C04412	36.2725	-91.4437	5
C04414	36.2834	-91.4263	5
C04415	26.55	36.8378	5
C04416	15.9843	62.9728	5
C04417	26.2871	68.3903	5
C04419	25.0494	45.7398	5
C04420	16.362	89.3218	5
C04421	33.5444	60.821	5
C04422	10.9621	61.8173	5
C04425	16.1953	64.9633	5
C04427	25.2846	68.7542	5
C04428	12.7067	67.491	5
C04429	31.9735	92.6255	5
C04430	23.1779	97.8576	5
C04431	23.4299	66.2808	5
C04433	26.0912	79.9664	5
C04434	23.2085	97.8303	5
C04435	18.9986	77.1338	5
C04436	25.1576	68.8151	5
C04437	31.3656	79.1126	5
C04438	27.5268	97.0804	5
C04439	93.2004	32.0122	4
C04440	25.3152	62.0981	5
C04441	33.4818	71.3385	5
C04442	26.7703	55.4147	5
C04444	-4.1035	82.9012	5
C04447	11.5042	67.4117	5
C04448	26.7837	89.5821	5
C04449	23.5843	97.402	5
C04450	26.6213	45.373	4
C04451	68.8584	39.6066	4
C04452	38.2967	81.5606	5
C04453	26.5611	73.833	5
C04454	26.409	61.0337	5
C04455	25.9459	66.956	5
C04456	87.8936	42.4963	4
C04457	72.284	14.1331	4
C04458	81.7932	-57.5024	4
C04462	70.7055	-47.3043	4
C04464	34.2138	42.5448	4
C04465	79.6966	-55.404	6
C04468	45.7616	-62.9618	4
C04469	83.0868	-51.807	4
C04470	55.4877	-50.4552	4
C04471	69.4656	18.5539	4
C04472	92.4858	34.7245	4
C04474	61.7361	52.6463	4
C04475	51.3888	55.2468	4
C04476	47.7357	53.5117	4
C04478	61.684	52.6663	4
C04480	67.3611	47.7449	4
C04482	67.4062	47.7529	4
C04487	91.8708	33.7006	4
C04488	63.7092	49.9243	4
C04490	63.7279	49.9054	4
C04491	60.5431	50.2874	4
C04493	67.9198	46.8585	4
C04496	69.0414	49.43	4
C04500	75.5561	46.4258	4
C04501	68.4632	46.5952	4
C04503	75.4581	46.712	4
C04504	92.447	34.4864	4
C04506	83.1296	32.7224	4
C04508	83.1483	32.6401	4
C04509	74.1094	44.6735	4
C04511	89.1033	34.3194	4
C04513	66.0909	57.8226	4
C04514	62.9188	56.6671	4
C04515	65.7249	53.3397	4
C04517	71.7484	53.5025	4
C04518	66.8974	56.7729	4
C04523	63.684	58.4212	4
C04525	76.3876	52.7673	4
C04526	74.4814	43.7438	4
C04527	71.7399	53.5697	4
C04529	77.2265	49.7064	4
C04530	40.0085	-95.2466	5
C04531	72.2884	56.2251	4
C04532	91.6448	33.8318	4
C04533	72.5955	52.2512	4
C04535	62.9088	56.6543	4
C04540	33.8739	50.6939	4
C04542	33.6322	50.59	4
C04543	66.9803	51.243	4
C04549	76.4294	52.8144	4
C04552	75.456	49.415	4
C04553	76.7765	51.5613	4
C04556	62.2713	52.8015	4
C04557	90.8554	34.8052	4
C04558	70.8215	54.5886	4
C04559	61.8996	51.3414	4
C04560	64.0494	52.7588	4
C04562	65.5738	49.1798	4
C04564	85.6425	47.7575	4
C04566	86.1696	33.9718	4
C04567	74.4745	48.9296	4
C04568	71.9521	54.1654	4
C04571	50.1129	57.1044	4
C04572	-5.0506	72.037	4
C04574	46.4397	35.785	4
C04576	63.9302	55.4142	4
C04577	65.8562	48.0962	4
C04578	71.8109	48.8429	4
C04579	90.7643	34.4504	4
C04580	69.1081	49.9405	4
C04582	34.6058	42.4507	4
C04585	76.3722	49.9462	4
C04593	45.0749	42.1669	4
C04595	69.8393	54.5915	4
C04599	66.9474	51.333	4
C04600	65.9167	57.9987	4
C04602	72.8903	46.0471	4
C04604	63.0521	49.3136	4
C04605	64.3337	52.9013	4
C04608	67.189	56.2543	4
C04609	34.3119	50.9039	4
C04610	71.2438	51.605	4
C04611	84.7682	44.8961	4
C04613	73.5828	51.6611	4
C04614	83.981	41.248	4
C04615	66.4407	58.698	4
C04616	69.0084	55.2192	4
C04618	25.3022	28.0357	4
C04620	60.9511	3.1111	6
C04621	30.4163	25.7393	4
C04622	63.4899	10.7333	4
C04624	68.1751	10.2691	4
